ÁREA,PRÉDIO,LOCAL,MÁQUINA,FABRICANTE,BTU,FUNCIONA,ESTADO,FUNCAO,CRITICO,AUTOMACAO,DIAS SEMANA,HORAS,PRIORIDADE,RISCO,AREA_M2,ALTURA_M,VOLUME_M3,,,,OBSERVAÇÕES
OPERATIVA,MINAS E BOMBAS,SALA DA MFC,SPLIT,,"36,000",OK,VELHA,ARMAMENTO,,,5,8,2,2,,,,,,,
OPERATIVA,MINAS E BOMBAS,SALA DE ESTUDOS,SPLIT,,"22,000",OK,VELHA,CONFORTO,,,5,8,2,2,,,,,,,
OPERATIVA,MINAS E BOMBAS,SALA DO ENCARREGADO,SPLIT,,"22,000",OK,VELHA,CONFORTO,,,5,8,2,2,,,,,,,
OPERATIVA,MINAS E BOMBAS,SALA MK9,SPLIT,,"18,000",NOK,VELHA,ARMAMENTO,,,5,8,2,2,,,,,,,VERIFICAR
OPERATIVA,MISTRAL,SALA DE MATERIAL DA SH,JANELA,,"7,500",OK,VELHA,ARMAMENTO,,,5,8,2,2,,,,,,,
OPERATIVA,MISTRAL,SALA DO MISSIL,SELF CONTAINED,,"120,000",OK,VELHA,ARMAMENTO,,,7,24,2,2,,,,,,,
OPERATIVA,MISTRAL,SALA DO SUPERVISOR,SELF CONTAINED,,"120,000",OK,VELHA,CONFORTO,,,5,8,2,2,,,,,,,
OPERATIVA,MK46,SALA DE AULA,SPLIT,,"18,000",OK,SEMI,CONFORTO,,,5,8,2,2,,,,,,,VERIFICAR
OPERATIVA,MK46,SALA DE MONTAGEM,SPLIT,,"60,000",OK,SEMI,ARMAMENTO,,,5,8,2,2,,,,,,,
OPERATIVA,MK46,SALA DE TESTES ELETRÔNICOS,SELF CONTAINED,,"60,000",OK,VELHA,ARMAMENTO,X,,7,24,1,1,,,,,,,
OPERATIVA,MK46,SALA DO ENCARREGADO,SPLIT,,"18,000",OK,SEMI,CONFORTO,,,5,8,2,2,,,,,,,
OPERATIVA,MK46,SALA ELETRONICA,SPLIT,,"60,000",OK,SEMI,ARMAMENTO,,,5,8,2,2,,,,,,,
OPERATIVA,MK46,SEÇÃO DE MECÂNICA,SPLIT,,"60,000",OK,SEMI,ARMAMENTO,,,5,8,2,2,,,,,,,
OPERATIVA,MK48,SALA 02,SELF CONTAINED,,"120,000",OK,NOVA,ARMAMENTO,,,7,24,2,2,,,,,,,
OPERATIVA,MK48,SALA ATE,CHILLER,,"180,000",NOK,VELHA,ARMAMENTO,,,5,8,2,2,,,,,,,
OPERATIVA,MK48,SALA DA CALIBRAÇÃO,SPLIT,,"60,000",OK,SEMI,ARMAMENTO,,,5,8,2,2,,,,,,,
OPERATIVA,MK48,SALA DE ACESSÓRIOS,SPLIT,,"36,000",OK,NOVA,ARMAMENTO,,,5,8,2,2,,,,,,,
OPERATIVA,MK48,SALA DE REUNIÕES,SPLIT,,"36,000",OK,SEMI,CONFORTO,,,5,8,2,2,,,,,,,
OPERATIVA,MK48,SALA DO ATE,SPLIT,,"36,000",NOK,SEMI,ARMAMENTO,,,5,8,2,2,,,,,,,VERIFICAR
OPERATIVA,MK48,SALA DO ATE,SPLIT,,"60,000",NOK,SEMI,ARMAMENTO,X,,7,24,1,1,,,,,,,
OPERATIVA,MK48,SALA DO ENCARREGADO,SPLIT,,"18,000",OK,NOVA,CONFORTO,,,5,8,2,2,,,,,,,
OPERATIVA,MK48,SALA DO MOTOR,SPLIT,,"60,000",NOK,SEMI,ARMAMENTO,,,5,8,2,2,,,,,,,VAZAMENTO
OPERATIVA,MK48,SALA DO QUALIDADE,SPLIT,,"22,000",OK,SEMI,ARMAMENTO,,,5,8,2,2,,,,,,,
OPERATIVA,MK48,SALA DO TMD,SPLIT,,"22,000",OK,SEMI,ARMAMENTO,,,5,8,2,2,,,,,,,
OPERATIVA,MK48,SEÇÃO DE MONTAGEM,SPLIT,,"60,000",OK,SEMI,ARMAMENTO,X,,7,24,1,1,,,,,,,
OPERATIVA,PCI,PAIOL DE COMPONENTES INERTES,SELF CONTAINED,,"120,000",OK,NOVA,ARMAMENTO,,,7,24,2,2,,,,,,,
OPERATIVA,PCI,SALA DA DIVISÃO,SPLIT,ELGIN,"18,000",OK,SEMI,CONFORTO,,,5,8,2,2,,,,,,,
OPERATIVA,PCI,SALA DO SERVIDOR,SPLIT,ELGIN,"9,000",NOK,VELHA,SERVIDOR,X,,7,24,1,1,,,,,,,
